id,timestamp,hostname,interface,description,encapsulation,vlan,rewrite,input_policy,output_policy,modified_by_id
39633,2021-05-21 05:00:45.701986,PRQG0049CIBE001,Bundle-Ether36.1059,*** IPB23007_NPQ1VOLM ***,dot1q,1059,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39634,2021-05-21 05:00:45.702032,PRQG0049CIBE001,Bundle-Ether37.250,CLA00633CICU001_MSAN_VDSL_Prepaid_DHCP,dot1q,250,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39635,2021-05-21 05:00:45.702077,PRQG0049CIBE001,Bundle-Ether37.251,PRQG0049CICU001_MSAN_VDSL_Prepaid_DHCP,dot1q,251,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39636,2021-05-21 05:00:45.702122,PRQG0049CIBE001,Bundle-Ether37.252,BATS0002CICU001_MSAN_VDSL_Prepaid_DHCP,dot1q,252,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39637,2021-05-21 05:00:45.702168,PRQG0049CIBE001,Bundle-Ether37.253,LIPS1300CICU001_VDSL_PVCONS,dot1q,253,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39638,2021-05-21 05:00:45.702227,PRQG0049CIBE001,Bundle-Ether37.650,CLAFEOL001_PFCONS,dot1q,650,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39639,2021-05-21 05:00:45.702274,PRQG0049CIBE001,Bundle-Ether37.656,LBSS0059CICU001 Prepaid FTTH DHCP_RID156033,dot1q,656,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39640,2021-05-21 05:00:45.702320,PRQG0049CIBE001,Bundle-Ether37.657,BATS0002CICU001_OLT_PFCONS,dot1q,657,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39641,2021-05-21 05:00:45.702366,PRQG0049CIBE001,Bundle-Ether37.658,LIPS1300CICU001_OLT_PFCONS,dot1q,658,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39642,2021-05-21 05:00:45.702411,PRQG0049CIBE001,Bundle-Ether37.659,SUB00527CICU001_OLT_PFCONS,dot1q,659,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
